x,y
0.05149300855,45387.30947
1.83418602,20399.05706
3.317524352,8855.357458
1.45697641,37531.14515
1.770471591,40523.7259
1.313469102,22437.25059
4.452961304,13722.15115
4.424901195,11245.41054
2.266031738,21965.27875
6.015350066,10956.6465
1.421303993,23282.08204
5.267701775,2796.736451
3.392731364,1079.114639
3.51947229,18128.33728
1.642400959,13068.94954
0.8557482051,6599.909729
0.9591747563,4294.137979
2.334328914,2739.382418
0.9902028472,11544.58097
0.1416719843,70558.70108
0.8333133064,5152.139413
1.732203775,15896.4357
0.7706353522,7708.160256
1.268150792,25344.03015
3.693713477,31258.79319
5.796182362,2245.507411
4.521737402,2245.842597
1.890216007,31176.76541
8.76680525,66984.65414
0.9919819342,51922.96485
0.8451746109,44660.20768
1.546000999,523.0412468
